Date,Currency,Mean,Buy,Sell
12/19/2016,EURO,106.7253,106.605,106.8455556
12/19/2016,USHS,35.128,35.04474953,35.21134425
12/19/2016,TSHS,21.3313,21.26145892,21.40105346
12/19/2016,RWF,7.9659,7.92382804,8.007911806
12/19/2016,BIF,16.3852,16.24688274,16.52357217
12/20/2016,US DOLLAR,102.2417,102.1416667,102.3416667
12/20/2016,STG POUND,126.5236,126.3861111,126.6611111
12/20/2016,EURO,106.605,106.4905556,106.7194444
12/20/2016,USHS,34.9467,34.86361046,35.0297789
12/20/2016,TSHS,21.3221,21.25234101,21.39185771
12/20/2016,RWF,7.9627,7.920723068,8.004764624
12/20/2016,BIF,16.4709,16.35697419,16.58480868
12/20/2016,US DOLLAR,102.2417,102.1416667,102.3416667
12/20/2016,STG POUND,126.5236,126.3861111,126.6611111
12/20/2016,EURO,106.605,106.4905556,106.7194444
12/20/2016,USHS,34.9467,34.86361046,35.0297789
12/20/2016,TSHS,21.3221,21.25234101,21.39185771
12/20/2016,RWF,7.9627,7.920723068,8.004764624
12/20/2016,BIF,16.4709,16.35697419,16.58480868
12/21/2016,US DOLLAR,102.3017,102.2072222,102.3961111
12/21/2016,STG POUND,126.1858,126.0433333,126.3283333
12/21/2016,EURO,106.0589,105.9416667,106.1761111
12/21/2016,USHS,34.8969,34.81577534,34.97795872
12/21/2016,TSHS,21.29,21.22150906,21.35856892
12/21/2016,RWF,7.9615,7.919929685,8.003054796
12/21/2016,BIF,16.3714,16.25852761,16.48425584
12/22/2016,US DOLLAR,102.3472,102.2472222,102.4472222
12/22/2016,STG POUND,126.6833,126.5483333,126.8183333
12/22/2016,EURO,106.7417,106.6238889,106.8594444
12/22/2016,USHS,34.8325,34.74960007,34.91537396
12/22/2016,TSHS,21.2806,21.21092161,21.35021326
12/22/2016,RWF,7.9593,7.917344974,8.001293162
12/22/2016,BIF,16.3625,16.24885442,16.47624222
12/23/2016,US DOLLAR,102.3578,102.2577778,102.4577778
12/23/2016,STG POUND,126.275,126.1377778,126.4122222
12/23/2016,EURO,106.9081,106.7905556,107.0255556
